CODICE;TIPO;DESTINAZIONE;ZONA;ORDINE;DESCRIZIONE;COORDINATE_LAT;COORDINATE_LNG;GIORNI_CONSIGLIATI;TIPO_AREA;CARATTERISTICHE;CITTA_PRINCIPALE;AEROPORTO_PIU_VICINO;DISTANZA_CAPITALE_KM;PERIODO_MIGLIORE;IMMAGINE_URL;DESTINAZIONE_COLLEGATA;PRIORITA;VOLO_1;VOLO_2;HOTEL_1;HOTEL_2;HOTEL_3;COSTI_ACC_1;COSTI_ACC_2;COSTI_ACC_3;EXTRA_1;EXTRA_2;EXTRA_3
ZGRSA02;Z;GRECIA;SANTORINI;2;Isola vulcanica iconica con villaggi bianchi e blu, tramonti mozzafiato a Oia e spiagge vulcaniche uniche.;36.3932;25.4615;3;mare;Tramonti,Villaggi,Spiagge vulcaniche,Wine tour,Romantico,Fotografia;Fira-Oia;JTR;280;Aprile-Ottobre;https://images.unsplash.com/photo-1613395877344-13d4a8e0d49e;DGR01;02;;;;;;;;;;;
ZGRCR03;Z;GRECIA;CRETA;3;Isola più grande della Grecia con spiagge, rovine minoiche, gole spettacolari e autenticità. Mix perfetto di mare, cultura e avventura.;35.2401;24.8093;4;mare;Spiagge,Storia minoica,Trekking,Cucina,Villaggi autentici,Archeologia;Heraklion;HER;320;Maggio-Ottobre;https://images.unsplash.com/photo-1589523211496-8e88dc5786b6;DGR01;03;;;;;;;;;;;
ZCUHA01;Z;CUBA;L'AVANA;1;Capitale affascinante con auto d'epoca, architettura coloniale, musica salsa e Malecon. Centro storico UNESCO Patrimonio dell'Umanità.;23.1136;-82.3666;3;città;Architettura coloniale,Auto d'epoca,Musica,Sigari,Rum,Storia,Malecon;L'Avana;HAV;0;Novembre-Aprile;https://images.unsplash.com/photo-1489924034176-2e678c29d4c6;DCU01;01;;;;;;;;;;;
ZCUVI02;Z;CUBA;VIÑALES;2;Valle verdissima con mogotes (formazioni calcaree), piantagioni di tabacco e vita rurale autentica. Paesaggio UNESCO.;22.6158;-83.7068;2;natura;Natura,Tabacco,Grotte,Trekking,Equitazione,Paesaggi,Ruraltà;Viñales;VRA;180;Novembre-Aprile;https://images.unsplash.com/photo-1581967133852-c6324f96ebad;DCU01;02;;;;;;;;;;;
ZCUTR03;Z;CUBA;TRINIDAD;3;Città coloniale perfettamente conservata con case colorate, Plaza Mayor e spiagge caraibiche vicine. Atmosfera romantica e autentica.;21.8022;-79.9844;3;città-mare;Architettura coloniale,Storia,Spiagge vicine,Musica,Danza,Artigianato;Trinidad;SNU;330;Novembre-Aprile;https://images.unsplash.com/photo-1582559205574-0d51dda7e1f2;DCU01;03;;;;;;;;;;;
ZMAMA01;Z;MAROCCO;MARRAKECH;1;Città imperiale con medina labirintica, souq colorati, Piazza Jemaa el-Fna e giardini Majorelle. Cuore pulsante del Marocco.;31.6295;-7.9811;3;città;Medina,Souq,Palazzi,Giardini,Hammam,Street food,Artigianato;Marrakech;RAK;330;Marzo-Maggio / Settembre-Novembre;https://images.unsplash.com/photo-1489749798305-4fea3ae63d43;DMA01;01;;;;;;;;;;;
ZMASA02;Z;MAROCCO;DESERTO SAHARA;2;Dune dorate del deserto con notti stellate, campo berbero e alba magica. Esperienza indimenticabile tra le dune di Erg Chebbi.;31.0893;-4.0103;2;deserto;Dune,Cammelli,Campo berbero,Stelle,Alba nel deserto,Cultura berbera;Merzouga;ERH;560;Ottobre-Aprile;https://images.unsplash.com/photo-1551632811-561732d1e306;DMA01;02;;;;;;;;;;;
ZMAES03;Z;MAROCCO;ESSAOUIRA;3;Città costiera rilassata con medina UNESCO, spiagge ventose perfette per surf e atmosfera artistica bohémien. Respiro sul mare.;31.5085;-9.7595;2;mare;Spiagge,Surf,Kitesurf,Medina,Seafood,Arte,Porto peschereccio;Essaouira;ESU;175;Aprile-Ottobre;https://images.unsplash.com/photo-1611407434984-143a1e29f8f7;DMA01;03;;;;;;;;;;;
ZSPBA01;Z;SPAGNA;BARCELLONA;1;Capitale catalana con Sagrada Familia, Gaudí, Ramblas, spiagge urbane e tapas. Architettura modernista e vita mediterranea vibrante.;41.3851;2.1734;3;città;Gaudí,Architettura,Spiagge urbane,Tapas,Vita notturna,Arte,Shopping;Barcellona;BCN;620;Aprile-Giugno / Settembre-Ottobre;https://images.unsplash.com/photo-1583422409516-2895a77efded;DSP01;01;;;;;;;;;;;
ZSPMA02;Z;SPAGNA;MADRID;2;Capitale reale con musei del Prado, Reina Sofia, movida notturna leggendaria e parchi. Cuore culturale e gastronomico della Spagna.;40.4168;-3.7038;3;città;Musei,Arte,Movida,Tapas,Parchi,Palazzi reali,Flamenco;Madrid;MAD;0;Aprile-Giugno / Settembre-Ottobre;https://images.unsplash.com/photo-1543783207-ec64e4d95325;DSP01;02;;;;;;;;;;;
ZSPAN03;Z;SPAGNA;ANDALUSIA;3;Regione del sud con Alhambra di Granada, Mezquita di Córdoba, flamenco a Siviglia e pueblos blancos. Cultura araba-spagnola unica.;37.3891;-5.9845;4;città-cultura;Alhambra,Flamenco,Architettura moresca,Tapas,Pueblos blancos,Oleifici;Siviglia;SVQ;535;Marzo-Giugno / Settembre-Novembre;https://images.unsplash.com/photo-1558642452-9d2a7deb7f62;DSP01;03;;;;;;;;;;;
ZGITO01;Z;GIAPPONE;TOKYO;1;Metropoli futuristica con quartieri ultramoderni, templi antichi, cultura pop e cucina stellata. Contrasti unici tra tradizione e innovazione.;35.6762;139.6503;4;città;Grattacieli,Templi,Shopping,Anime,Cucina,Tecnologia,Vita notturna;Tokyo;NRT-HND;0;Marzo-Maggio / Settembre-Novembre;https://images.unsplash.com/photo-1540959733332-eab4deabeeaf;DGI01;01;;;;;;;;;;;
ZGIKY02;Z;GIAPPONE;KYOTO;2;Antica capitale con 2000 templi, giardini zen, geishe, foresta di bambù e cerimonie del tè. Cuore spirituale e culturale del Giappone.;35.0116;135.7681;3;città-cultura;Templi,Geishe,Giardini zen,Bambù,Cerimonia del tè,Tradizione,Kimono;Kyoto;ITM-KIX;475;Marzo-Maggio / Ottobre-Novembre;https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e;DGI01;02;;;;;;;;;;;
ZGIOS03;Z;GIAPPONE;OSAKA;3;Città gourmet con street food leggendario, castello storico e vita notturna energica. Base perfetta per esplorare Nara e dintorni.;34.6937;135.5023;2;città;Street food,Castello,Vita notturna,Cucina,Dotonbori,Shopping,Divertimento;Osaka;KIX;500;Marzo-Maggio / Settembre-Novembre;https://images.unsplash.com/photo-1589452271712-64b8a66c7b71;DGI01;03;;;;;;;;;;;
